Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;7;0;0;0;1;1;0;1;Y;17;
Falco;4;8;1;1;1;0;1;1;0;N;4;
Aquila;4;3;1;1;0;0;0;1;0;Y;11;
Gheppio;4;1;1;1;1;1;1;1;1;Y;9;
Condor;4;2;1;1;1;1;1;1;1;N;-1;
Gufo;4;5;0;1;0;1;1;0;1;Y;9;
Sparviere;4;5;0;0;1;1;1;0;1;Y;20;
Civetta;4;3;1;1;0;1;1;1;1;N;7;
Colomba;4;2;1;0;1;0;0;1;1;Y;9;
