Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;7;0;1;0;0;1;1;1;Y;10;
Falco;4;7;1;1;1;1;1;0;1;N;6;
Aquila;4;4;1;0;1;0;0;1;1;N;6;
Gheppio;4;3;1;0;0;0;1;0;1;N;4;
Condor;4;6;0;1;1;0;1;0;0;Y;10;
Gufo;4;4;0;0;0;1;0;1;0;N;5;
Sparviere;4;0;0;0;1;0;0;0;1;Y;13;
Civetta;4;1;0;1;1;0;1;1;1;Y;16;
Colomba;4;5;0;1;1;1;1;1;1;Y;10;
