Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;4;0;1;0;1;1;1;1;1;1;1;N;0;
Falco;4;2;0;1;1;0;0;1;1;1;1;1;N;3;
Aquila;4;0;0;1;1;0;1;0;1;0;1;0;Y;16;
Gheppio;4;3;1;1;1;1;0;1;1;1;0;1;Y;10;
Condor;4;2;0;1;0;1;0;0;1;1;1;0;Y;10;
Gufo;4;0;1;1;1;1;1;1;1;1;1;1;N;-1;
Sparviere;4;6;1;1;1;1;0;1;0;1;1;1;Y;10;
Civetta;4;6;1;0;0;1;0;1;0;1;1;1;Y;19;
Colomba;4;6;1;0;1;0;1;1;0;1;1;1;Y;14;
