Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;4;0;1;1;1;1;Y;14;
Falco;4;4;0;1;1;1;1;Y;10;
Aquila;4;4;0;1;1;1;1;Y;10;
Gheppio;4;4;1;0;1;0;1;N;0;
Condor;4;2;0;1;1;0;1;N;7;
Gufo;4;4;0;0;1;1;1;N;8;
Sparviere;4;5;1;0;0;0;0;N;7;
Civetta;4;2;0;0;0;0;1;Y;14;
Colomba;4;7;1;0;0;0;1;Y;9;
