Player;Care;Trust;R1;R2;R3;R4;R5;Win;FinalScore;
Corvo;4;5;0;1;1;1;1;Y;14;
Falco;4;6;1;0;1;1;1;N;6;
Aquila;4;8;0;0;1;0;0;N;7;
Gheppio;4;5;0;1;1;1;1;Y;10;
Condor;4;6;1;0;0;1;0;N;5;
Gufo;4;5;0;0;1;1;1;Y;9;
Sparviere;4;2;1;0;1;1;1;Y;10;
Civetta;4;7;0;1;1;1;1;Y;14;
Colomba;4;0;0;1;0;1;1;N;8;
