Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;6;1;0;1;1;N;8;
Falco;4;5;0;1;1;1;N;4;
Aquila;4;1;0;1;1;1;Y;12;
Gheppio;4;4;0;1;1;1;Y;12;
Condor;4;1;0;1;0;1;Y;13;
Gufo;4;8;0;1;1;0;Y;9;
Sparviere;4;1;1;0;1;0;Y;9;
Civetta;4;5;1;1;1;1;N;-1;
Colomba;4;1;1;0;1;1;N;8;
