Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;5;1;1;1;N;5;
Falco;4;1;1;1;1;N;5;
Aquila;4;7;0;0;1;Y;11;
Gheppio;4;1;1;1;1;N;5;
Condor;4;1;1;1;1;Y;9;
Gufo;4;6;1;0;1;Y;10;
Sparviere;4;2;0;0;1;Y;11;
Civetta;4;3;1;1;0;N;6;
Colomba;4;1;1;0;0;Y;11;
