Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;Win;FinalScore;
Corvo;4;8;1;0;1;0;1;0;1;N;-1;
Falco;4;4;1;0;0;1;1;1;1;Y;9;
Aquila;4;4;0;1;0;1;0;1;1;Y;12;
Gheppio;4;3;1;0;1;0;1;1;1;Y;9;
Condor;4;0;0;0;0;1;1;1;0;Y;11;
Gufo;4;6;0;0;1;1;0;1;1;Y;17;
Sparviere;4;1;0;0;1;1;1;1;1;Y;12;
Civetta;4;8;0;0;0;0;1;0;0;N;8;
Colomba;4;1;0;0;1;0;1;1;0;N;4;
