Player;Care;Trust;R1;R2;R3;R4;R5;R6;Win;FinalScore;
Corvo;4;7;1;0;0;1;0;1;Y;11;
Falco;4;2;1;1;1;1;1;1;N;-1;
Aquila;4;7;0;1;1;1;0;1;Y;13;
Gheppio;4;4;0;0;0;1;1;1;N;7;
Condor;4;0;0;1;1;0;0;1;Y;10;
Gufo;4;4;1;0;0;1;0;1;Y;10;
Sparviere;4;1;1;1;1;1;1;1;N;-1;
Civetta;4;3;1;0;0;0;0;1;Y;12;
Colomba;4;2;0;1;1;1;1;1;N;8;
