Player;Care;Trust;R1;R2;R3;R4;Win;FinalScore;
Corvo;4;6;0;0;1;1;Y;10;
Falco;4;7;0;1;1;1;Y;9;
Aquila;4;8;1;0;1;1;N;5;
Gheppio;4;4;0;1;1;1;Y;12;
Condor;4;7;0;1;1;1;N;8;
Gufo;4;6;0;0;1;1;Y;10;
Sparviere;4;3;0;1;1;1;Y;12;
Civetta;4;1;0;0;1;1;Y;10;
Colomba;4;0;1;0;1;1;N;5;
