Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;5;0;0;0;1;1;0;1;0;1;1;Y;10;
Falco;4;7;1;0;0;0;0;1;1;1;1;1;N;6;
Aquila;4;5;0;1;1;0;0;1;1;0;1;1;N;8;
Gheppio;4;0;0;0;1;0;1;1;0;1;1;1;Y;9;
Condor;4;8;1;0;0;0;1;1;0;1;1;1;Y;9;
Gufo;4;3;0;0;0;0;1;1;0;1;1;1;Y;15;
Sparviere;4;1;0;0;1;0;1;1;1;1;1;1;Y;13;
Civetta;4;1;0;0;1;1;1;0;1;0;1;1;Y;12;
Colomba;4;6;1;0;1;0;1;1;0;1;1;1;Y;11;
