Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;Win;FinalScore;
Corvo;4;2;0;1;1;0;1;1;0;1;N;7;
Falco;4;7;1;1;1;1;1;1;0;1;N;-1;
Aquila;4;3;0;1;0;0;0;1;1;1;Y;10;
Gheppio;4;2;1;1;1;1;1;1;1;1;N;-1;
Condor;4;1;0;0;1;0;1;1;1;1;Y;19;
Gufo;4;5;0;1;0;1;1;1;1;1;Y;10;
Sparviere;4;1;1;0;1;0;1;1;1;1;Y;9;
Civetta;4;7;0;1;1;1;1;0;1;0;N;7;
Colomba;4;1;1;0;0;0;0;1;1;1;Y;9;
