Player;Care;Trust;R1;R2;R3;R4;R5;R6;R7;R8;R9;R10;Win;FinalScore;
Corvo;4;0;0;0;0;1;1;1;0;0;0;1;Y;16;
Falco;4;4;0;1;1;0;0;1;1;0;1;1;N;0;
Aquila;4;8;0;1;0;1;1;0;1;0;1;1;Y;9;
Gheppio;4;2;0;0;1;1;0;1;1;1;1;1;N;0;
Condor;4;4;1;0;0;0;1;0;1;0;1;1;Y;17;
Gufo;4;7;0;0;1;0;1;1;1;1;0;1;Y;12;
Sparviere;4;1;1;0;0;0;0;1;1;0;1;1;N;8;
Civetta;4;5;0;0;0;1;0;1;1;0;1;1;Y;11;
Colomba;4;2;0;0;0;1;0;1;1;1;1;1;Y;9;
