Player;Care;Trust;R1;R2;R3;Win;FinalScore;
Corvo;4;2;1;1;1;N;-1;
Falco;4;8;0;1;1;N;6;
Aquila;4;0;1;1;1;N;-1;
Gheppio;4;5;0;1;1;Y;10;
Condor;4;0;0;1;0;Y;11;
Gufo;4;2;1;1;1;Y;9;
Sparviere;4;2;1;1;1;Y;9;
Civetta;4;1;1;0;1;N;6;
Colomba;4;5;1;1;1;Y;9;
